Covid,Electricity,Season,State,Time,WeekTime,Value
No,Regional Reference Price,Autumn,New South Wales,14:00:00,Weekday,81.2220438
No,Electricity Demand,Autumn,New South Wales,14:30:00,Weekday,8347.807956
No,Regional Reference Price,Autumn,New South Wales,14:30:00,Weekday,82.28740876
No,Electricity Demand,Autumn,New South Wales,15:00:00,Weekday,8423.565584
No,Regional Reference Price,Autumn,New South Wales,15:00:00,Weekday,82.69255475
No,Electricity Demand,Autumn,New South Wales,15:30:00,Weekday,8496.247847
No,Regional Reference Price,Autumn,New South Wales,15:30:00,Weekday,84.31065693
No,Electricity Demand,Autumn,New South Wales,16:00:00,Weekday,8612.670219
No,Regional Reference Price,Autumn,New South Wales,16:00:00,Weekday,88.83186131
No,Electricity Demand,Autumn,New South Wales,16:30:00,Weekday,8711.49927
No,Regional Reference Price,Autumn,New South Wales,16:30:00,Weekday,85.40054745
No,Electricity Demand,Autumn,New South Wales,17:00:00,Weekday,8853.311825
No,Regional Reference Price,Autumn,New South Wales,17:00:00,Weekday,94.09686131
No,Electricity Demand,Autumn,New South Wales,17:30:00,Weekday,8986.393285
No,Regional Reference Price,Autumn,New South Wales,17:30:00,Weekday,94.09459854
No,Electricity Demand,Autumn,New South Wales,18:00:00,Weekday,9210.934234
No,Regional Reference Price,Autumn,New South Wales,18:00:00,Weekday,121.715
No,Electricity Demand,Autumn,New South Wales,18:30:00,Weekday,9193.113175
No,Regional Reference Price,Autumn,New South Wales,18:30:00,Weekday,109.1288321
No,Electricity Demand,Autumn,New South Wales,19:00:00,Weekday,9096.815511
No,Regional Reference Price,Autumn,New South Wales,19:00:00,Weekday,100.5889051
No,Electricity Demand,Autumn,New South Wales,19:30:00,Weekday,8880.953285
No,Regional Reference Price,Autumn,New South Wales,19:30:00,Weekday,81.71346715
No,Electricity Demand,Autumn,New South Wales,20:00:00,Weekday,8672.939015
No,Regional Reference Price,Autumn,New South Wales,20:00:00,Weekday,82.34934307
No,Electricity Demand,Autumn,New South Wales,20:30:00,Weekday,8482.697117
No,Regional Reference Price,Autumn,New South Wales,20:30:00,Weekday,82.19120438
No,Electricity Demand,Autumn,New South Wales,21:00:00,Weekday,8271.119124
No,Regional Reference Price,Autumn,New South Wales,21:00:00,Weekday,75.28120438
No,Electricity Demand,Autumn,New South Wales,21:30:00,Weekday,8117.033467
No,Regional Reference Price,Autumn,New South Wales,21:30:00,Weekday,72.1279562
No,Electricity Demand,Autumn,New South Wales,22:00:00,Weekday,7913.36062
No,Regional Reference Price,Autumn,New South Wales,22:00:00,Weekday,65.48609489
No,Electricity Demand,Autumn,New South Wales,22:30:00,Weekday,7902.950219
No,Regional Reference Price,Autumn,New South Wales,22:30:00,Weekday,85.99171533
No,Electricity Demand,Autumn,New South Wales,23:00:00,Weekday,7717.980547
No,Regional Reference Price,Autumn,New South Wales,23:00:00,Weekday,75.55248175
No,Electricity Demand,Autumn,New South Wales,23:30:00,Weekday,7614.647591
No,Regional Reference Price,Autumn,New South Wales,23:30:00,Weekday,76.90317518
No,Electricity Demand,Autumn,New South Wales,00:00:00,Weekend,7253.847615
No,Regional Reference Price,Autumn,New South Wales,00:00:00,Weekend,70.02045872
No,Electricity Demand,Autumn,New South Wales,00:30:00,Weekend,7076.57
No,Regional Reference Price,Autumn,New South Wales,00:30:00,Weekend,64.31779817
No,Electricity Demand,Autumn,New South Wales,01:00:00,Weekend,6889.407156
No,Regional Reference Price,Autumn,New South Wales,01:00:00,Weekend,62.37119266
No,Electricity Demand,Autumn,New South Wales,01:30:00,Weekend,6654.74633
No,Regional Reference Price,Autumn,New South Wales,01:30:00,Weekend,59.63917431
No,Electricity Demand,Autumn,New South Wales,02:00:00,Weekend,6440.502477
No,Regional Reference Price,Autumn,New South Wales,02:00:00,Weekend,59.60522936
No,Electricity Demand,Autumn,New South Wales,02:30:00,Weekend,6220.855138
No,Regional Reference Price,Autumn,New South Wales,02:30:00,Weekend,58.15155963
No,Electricity Demand,Autumn,New South Wales,03:00:00,Weekend,6075.841743
No,Regional Reference Price,Autumn,New South Wales,03:00:00,Weekend,56.73844037
No,Electricity Demand,Autumn,New South Wales,03:30:00,Weekend,5984.283761
No,Regional Reference Price,Autumn,New South Wales,03:30:00,Weekend,55.24522936
No,Electricity Demand,Autumn,New South Wales,04:00:00,Weekend,5939.632385
No,Regional Reference Price,Autumn,New South Wales,04:00:00,Weekend,55.5733945
No,Electricity Demand,Autumn,New South Wales,04:30:00,Weekend,5947.014954
No,Regional Reference Price,Autumn,New South Wales,04:30:00,Weekend,54.95311927
No,Electricity Demand,Autumn,New South Wales,05:00:00,Weekend,5988.139174
No,Regional Reference Price,Autumn,New South Wales,05:00:00,Weekend,53.75688073
No,Electricity Demand,Autumn,New South Wales,05:30:00,Weekend,6116.436697
No,Regional Reference Price,Autumn,New South Wales,05:30:00,Weekend,56.22669725
No,Electricity Demand,Autumn,New South Wales,06:00:00,Weekend,6240.560183
No,Regional Reference Price,Autumn,New South Wales,06:00:00,Weekend,56.66550459
No,Electricity Demand,Autumn,New South Wales,06:30:00,Weekend,6445.79211
No,Regional Reference Price,Autumn,New South Wales,06:30:00,Weekend,60.26660551
No,Electricity Demand,Autumn,New South Wales,07:00:00,Weekend,6667.070275
No,Regional Reference Price,Autumn,New South Wales,07:00:00,Weekend,64.01146789
No,Electricity Demand,Autumn,New South Wales,07:30:00,Weekend,6922.737339
No,Regional Reference Price,Autumn,New South Wales,07:30:00,Weekend,65.32477064
No,Electricity Demand,Autumn,New South Wales,08:00:00,Weekend,7163.856972
No,Regional Reference Price,Autumn,New South Wales,08:00:00,Weekend,66.90724771
No,Electricity Demand,Autumn,New South Wales,08:30:00,Weekend,7368.169541
No,Regional Reference Price,Autumn,New South Wales,08:30:00,Weekend,71.28522936
No,Electricity Demand,Autumn,New South Wales,09:00:00,Weekend,7447.671468
No,Regional Reference Price,Autumn,New South Wales,09:00:00,Weekend,72.37477064
No,Electricity Demand,Autumn,New South Wales,09:30:00,Weekend,7510.035413
No,Regional Reference Price,Autumn,New South Wales,09:30:00,Weekend,77.98568807
No,Electricity Demand,Autumn,New South Wales,10:00:00,Weekend,7459.284587
No,Regional Reference Price,Autumn,New South Wales,10:00:00,Weekend,70.93743119
No,Electricity Demand,Autumn,New South Wales,10:30:00,Weekend,7430.31156
No,Regional Reference Price,Autumn,New South Wales,10:30:00,Weekend,68.10220184
No,Electricity Demand,Autumn,New South Wales,11:00:00,Weekend,7371.417523
No,Regional Reference Price,Autumn,New South Wales,11:00:00,Weekend,63.45119266
No,Electricity Demand,Autumn,New South Wales,11:30:00,Weekend,7307.190642
No,Regional Reference Price,Autumn,New South Wales,11:30:00,Weekend,61.82385321
No,Electricity Demand,Autumn,New South Wales,12:00:00,Weekend,7277.748991
No,Regional Reference Price,Autumn,New South Wales,12:00:00,Weekend,61.4993578
No,Electricity Demand,Autumn,New South Wales,12:30:00,Weekend,7258.67578
No,Regional Reference Price,Autumn,New South Wales,12:30:00,Weekend,62.09522936
No,Electricity Demand,Autumn,New South Wales,13:00:00,Weekend,7259.43633
No,Regional Reference Price,Autumn,New South Wales,13:00:00,Weekend,62.26477064
No,Electricity Demand,Autumn,New South Wales,13:30:00,Weekend,7267.746789
No,Regional Reference Price,Autumn,New South Wales,13:30:00,Weekend,63.5333945
No,Electricity Demand,Autumn,New South Wales,14:00:00,Weekend,7303.284404
No,Regional Reference Price,Autumn,New South Wales,14:00:00,Weekend,66.2846789
No,Electricity Demand,Autumn,New South Wales,14:30:00,Weekend,7367.168716
No,Regional Reference Price,Autumn,New South Wales,14:30:00,Weekend,67.4012844
No,Electricity Demand,Autumn,New South Wales,15:00:00,Weekend,7456.854954
No,Regional Reference Price,Autumn,New South Wales,15:00:00,Weekend,69.82192661
No,Electricity Demand,Autumn,New South Wales,15:30:00,Weekend,7575.105505
No,Regional Reference Price,Autumn,New South Wales,15:30:00,Weekend,74.51155963
No,Electricity Demand,Autumn,New South Wales,16:00:00,Weekend,7717.115046
No,Regional Reference Price,Autumn,New South Wales,16:00:00,Weekend,79.51311927
No,Electricity Demand,Autumn,New South Wales,16:30:00,Weekend,7862.093028
No,Regional Reference Price,Autumn,New South Wales,16:30:00,Weekend,79.32045872
No,Electricity Demand,Autumn,New South Wales,17:00:00,Weekend,8061.330826
No,Regional Reference Price,Autumn,New South Wales,17:00:00,Weekend,92.85036697
No,Electricity Demand,Autumn,New South Wales,17:30:00,Weekend,8238.481835
No,Regional Reference Price,Autumn,New South Wales,17:30:00,Weekend,92.45669725
No,Electricity Demand,Autumn,New South Wales,18:00:00,Weekend,8464.983028
No,Regional Reference Price,Autumn,New South Wales,18:00:00,Weekend,108.5354128
No,Electricity Demand,Autumn,New South Wales,18:30:00,Weekend,8501.874954
No,Regional Reference Price,Autumn,New South Wales,18:30:00,Weekend,107.4288991
No,Electricity Demand,Autumn,New South Wales,19:00:00,Weekend,8404.767248
No,Regional Reference Price,Autumn,New South Wales,19:00:00,Weekend,95.3487156
No,Electricity Demand,Autumn,New South Wales,19:30:00,Weekend,8226.098532
No,Regional Reference Price,Autumn,New South Wales,19:30:00,Weekend,81.25357798
No,Electricity Demand,Autumn,New South Wales,20:00:00,Weekend,8039.986514
No,Regional Reference Price,Autumn,New South Wales,20:00:00,Weekend,79.88302752
No,Electricity Demand,Autumn,New South Wales,20:30:00,Weekend,7888.861835
No,Regional Reference Price,Autumn,New South Wales,20:30:00,Weekend,80.86788991
No,Electricity Demand,Autumn,New South Wales,21:00:00,Weekend,7726.161835
No,Regional Reference Price,Autumn,New South Wales,21:00:00,Weekend,72.08568807
No,Electricity Demand,Autumn,New South Wales,21:30:00,Weekend,7583.691101
No,Regional Reference Price,Autumn,New South Wales,21:30:00,Weekend,69.33165138
No,Electricity Demand,Autumn,New South Wales,22:00:00,Weekend,7442.523853
No,Regional Reference Price,Autumn,New South Wales,22:00:00,Weekend,64.91018349
No,Electricity Demand,Autumn,New South Wales,22:30:00,Weekend,7406.722569
No,Regional Reference Price,Autumn,New South Wales,22:30:00,Weekend,72.29119266
No,Electricity Demand,Autumn,New South Wales,23:00:00,Weekend,7237.65945
No,Regional Reference Price,Autumn,New South Wales,23:00:00,Weekend,69.74816514
No,Electricity Demand,Autumn,New South Wales,23:30:00,Weekend,7123.059817
No,Regional Reference Price,Autumn,New South Wales,23:30:00,Weekend,68.39770642
No,Electricity Demand,Autumn,Queensland,00:00:00,Weekday,5781.343686
No,Regional Reference Price,Autumn,Queensland,00:00:00,Weekday,64.62058394
No,Electricity Demand,Autumn,Queensland,00:30:00,Weekday,5606.427628
No,Regional Reference Price,Autumn,Queensland,00:30:00,Weekday,58.48010949
No,Electricity Demand,Autumn,Queensland,01:00:00,Weekday,5478.321314
No,Regional Reference Price,Autumn,Queensland,01:00:00,Weekday,55.88208029
No,Electricity Demand,Autumn,Queensland,01:30:00,Weekday,5368.759416
No,Regional Reference Price,Autumn,Queensland,01:30:00,Weekday,54.72142336
No,Electricity Demand,Autumn,Queensland,02:00:00,Weekday,5306.462847
No,Regional Reference Price,Autumn,Queensland,02:00:00,Weekday,55.21273723
No,Electricity Demand,Autumn,Queensland,02:30:00,Weekday,5275.923978
No,Regional Reference Price,Autumn,Queensland,02:30:00,Weekday,52.39335766
No,Electricity Demand,Autumn,Queensland,03:00:00,Weekday,5253.982044
No,Regional Reference Price,Autumn,Queensland,03:00:00,Weekday,51.83620438
No,Electricity Demand,Autumn,Queensland,03:30:00,Weekday,5247.889051
No,Regional Reference Price,Autumn,Queensland,03:30:00,Weekday,51.3359854
No,Electricity Demand,Autumn,Queensland,04:00:00,Weekday,5253.466387
No,Regional Reference Price,Autumn,Queensland,04:00:00,Weekday,51.52916058
No,Electricity Demand,Autumn,Queensland,04:30:00,Weekday,5313.056752
No,Regional Reference Price,Autumn,Queensland,04:30:00,Weekday,53.20558394
No,Electricity Demand,Autumn,Queensland,05:00:00,Weekday,5393.365474
No,Regional Reference Price,Autumn,Queensland,05:00:00,Weekday,54.17843066
No,Electricity Demand,Autumn,Queensland,05:30:00,Weekday,5583.484161
No,Regional Reference Price,Autumn,Queensland,05:30:00,Weekday,62.31591241
No,Electricity Demand,Autumn,Queensland,06:00:00,Weekday,5786.036934
No,Regional Reference Price,Autumn,Queensland,06:00:00,Weekday,65.86547445
No,Electricity Demand,Autumn,Queensland,06:30:00,Weekday,6092.435657
No,Regional Reference Price,Autumn,Queensland,06:30:00,Weekday,92.83032847
No,Electricity Demand,Autumn,Queensland,07:00:00,Weekday,6371.92281
No,Regional Reference Price,Autumn,Queensland,07:00:00,Weekday,128.0335401
No,Electricity Demand,Autumn,Queensland,07:30:00,Weekday,6606.135
No,Regional Reference Price,Autumn,Queensland,07:30:00,Weekday,83.51313869
No,Electricity Demand,Autumn,Queensland,08:00:00,Weekday,6604.965365
No,Regional Reference Price,Autumn,Queensland,08:00:00,Weekday,90.69010949
No,Electricity Demand,Autumn,Queensland,08:30:00,Weekday,6546.940292
No,Regional Reference Price,Autumn,Queensland,08:30:00,Weekday,77.42638686
No,Electricity Demand,Autumn,Queensland,09:00:00,Weekday,6479.118869
No,Regional Reference Price,Autumn,Queensland,09:00:00,Weekday,72.86284672
No,Electricity Demand,Autumn,Queensland,09:30:00,Weekday,6447.355328
No,Regional Reference Price,Autumn,Queensland,09:30:00,Weekday,72.78222628
No,Electricity Demand,Autumn,Queensland,10:00:00,Weekday,6398.449015
No,Regional Reference Price,Autumn,Queensland,10:00:00,Weekday,76.28317518
No,Electricity Demand,Autumn,Queensland,10:30:00,Weekday,6379.281314
No,Regional Reference Price,Autumn,Queensland,10:30:00,Weekday,68.71616788
No,Electricity Demand,Autumn,Queensland,11:00:00,Weekday,6377.897956
No,Regional Reference Price,Autumn,Queensland,11:00:00,Weekday,77.58562044
No,Electricity Demand,Autumn,Queensland,11:30:00,Weekday,6372.348504
No,Regional Reference Price,Autumn,Queensland,11:30:00,Weekday,67.45854015
No,Electricity Demand,Autumn,Queensland,12:00:00,Weekday,6400.143467
No,Regional Reference Price,Autumn,Queensland,12:00:00,Weekday,67.83854015
No,Electricity Demand,Autumn,Queensland,12:30:00,Weekday,6429.751934
No,Regional Reference Price,Autumn,Queensland,12:30:00,Weekday,69.91846715
No,Electricity Demand,Autumn,Queensland,13:00:00,Weekday,6467.800365
No,Regional Reference Price,Autumn,Queensland,13:00:00,Weekday,71.63047445
No,Electricity Demand,Autumn,Queensland,13:30:00,Weekday,6525.234708
No,Regional Reference Price,Autumn,Queensland,13:30:00,Weekday,72.72510949
No,Electricity Demand,Autumn,Queensland,14:00:00,Weekday,6599.069708
No,Regional Reference Price,Autumn,Queensland,14:00:00,Weekday,75.85131387
No,Electricity Demand,Autumn,Queensland,14:30:00,Weekday,6682.146606
No,Regional Reference Price,Autumn,Queensland,14:30:00,Weekday,74.66372263
No,Electricity Demand,Autumn,Queensland,15:00:00,Weekday,6750.824708
No,Regional Reference Price,Autumn,Queensland,15:00:00,Weekday,75.94317518
No,Electricity Demand,Autumn,Queensland,15:30:00,Weekday,6840.708577
No,Regional Reference Price,Autumn,Queensland,15:30:00,Weekday,78.56423358
No,Electricity Demand,Autumn,Queensland,16:00:00,Weekday,6974.404672
No,Regional Reference Price,Autumn,Queensland,16:00:00,Weekday,85.40916058
No,Electricity Demand,Autumn,Queensland,16:30:00,Weekday,7104.352737
No,Regional Reference Price,Autumn,Queensland,16:30:00,Weekday,81.78291971
No,Electricity Demand,Autumn,Queensland,17:00:00,Weekday,7245.776387
No,Regional Reference Price,Autumn,Queensland,17:00:00,Weekday,110.7341606
No,Electricity Demand,Autumn,Queensland,17:30:00,Weekday,7332.839672
No,Regional Reference Price,Autumn,Queensland,17:30:00,Weekday,93.0050365
No,Electricity Demand,Autumn,Queensland,18:00:00,Weekday,7406.517299
No,Regional Reference Price,Autumn,Queensland,18:00:00,Weekday,124.5124088
No,Electricity Demand,Autumn,Queensland,18:30:00,Weekday,7431.739234
No,Regional Reference Price,Autumn,Queensland,18:30:00,Weekday,113.3657664
No,Electricity Demand,Autumn,Queensland,19:00:00,Weekday,7472.795292
No,Regional Reference Price,Autumn,Queensland,19:00:00,Weekday,116.5427007
No,Electricity Demand,Autumn,Queensland,19:30:00,Weekday,7312.718102
No,Regional Reference Price,Autumn,Queensland,19:30:00,Weekday,87.50343066
No,Electricity Demand,Autumn,Queensland,20:00:00,Weekday,7211.353467
No,Regional Reference Price,Autumn,Queensland,20:00:00,Weekday,79.99178832
No,Electricity Demand,Autumn,Queensland,20:30:00,Weekday,7099.505657
No,Regional Reference Price,Autumn,Queensland,20:30:00,Weekday,79.65693431
No,Electricity Demand,Autumn,Queensland,21:00:00,Weekday,6888.723321
No,Regional Reference Price,Autumn,Queensland,21:00:00,Weekday,72.1350365
No,Electricity Demand,Autumn,Queensland,21:30:00,Weekday,6722.212044
No,Regional Reference Price,Autumn,Queensland,21:30:00,Weekday,68.58879562
No,Electricity Demand,Autumn,Queensland,22:00:00,Weekday,6521.074672
No,Regional Reference Price,Autumn,Queensland,22:00:00,Weekday,61.50167883
No,Electricity Demand,Autumn,Queensland,22:30:00,Weekday,6373.654124
No,Regional Reference Price,Autumn,Queensland,22:30:00,Weekday,90.61864964
No,Electricity Demand,Autumn,Queensland,23:00:00,Weekday,6267.492007
No,Regional Reference Price,Autumn,Queensland,23:00:00,Weekday,75.66978102
No,Electricity Demand,Autumn,Queensland,23:30:00,Weekday,6068.760109
No,Regional Reference Price,Autumn,Queensland,23:30:00,Weekday,73.43682482
No,Electricity Demand,Autumn,Queensland,00:00:00,Weekend,5766.146422
No,Regional Reference Price,Autumn,Queensland,00:00:00,Weekend,65.54045872
No,Electricity Demand,Autumn,Queensland,00:30:00,Weekend,5597.43055
No,Regional Reference Price,Autumn,Queensland,00:30:00,Weekend,59.84477064
No,Electricity Demand,Autumn,Queensland,01:00:00,Weekend,5464.214312
No,Regional Reference Price,Autumn,Queensland,01:00:00,Weekend,57.82963303
No,Electricity Demand,Autumn,Queensland,01:30:00,Weekend,5347.792844
No,Regional Reference Price,Autumn,Queensland,01:30:00,Weekend,54.58807339
No,Electricity Demand,Autumn,Queensland,02:00:00,Weekend,5278.24578
No,Regional Reference Price,Autumn,Queensland,02:00:00,Weekend,55.28697248
No,Electricity Demand,Autumn,Queensland,02:30:00,Weekend,5236.315688
No,Regional Reference Price,Autumn,Queensland,02:30:00,Weekend,53.04577982
No,Electricity Demand,Autumn,Queensland,03:00:00,Weekend,5205.395872
No,Regional Reference Price,Autumn,Queensland,03:00:00,Weekend,51.19743119
No,Electricity Demand,Autumn,Queensland,03:30:00,Weekend,5188.269633
No,Regional Reference Price,Autumn,Queensland,03:30:00,Weekend,50.23275229
No,Electricity Demand,Autumn,Queensland,04:00:00,Weekend,5178.771743
No,Regional Reference Price,Autumn,Queensland,04:00:00,Weekend,50.14513762
No,Electricity Demand,Autumn,Queensland,04:30:00,Weekend,5197.79945
No,Regional Reference Price,Autumn,Queensland,04:30:00,Weekend,50.33568807
No,Electricity Demand,Autumn,Queensland,05:00:00,Weekend,5218.707982
No,Regional Reference Price,Autumn,Queensland,05:00:00,Weekend,49.52513762
No,Electricity Demand,Autumn,Queensland,05:30:00,Weekend,5285.919266
No,Regional Reference Price,Autumn,Queensland,05:30:00,Weekend,51.61422018
No,Electricity Demand,Autumn,Queensland,06:00:00,Weekend,5342.801743
No,Regional Reference Price,Autumn,Queensland,06:00:00,Weekend,52.13110092
No,Electricity Demand,Autumn,Queensland,06:30:00,Weekend,5421.129358
No,Regional Reference Price,Autumn,Queensland,06:30:00,Weekend,55.58743119
No,Electricity Demand,Autumn,Queensland,07:00:00,Weekend,5506.501927
No,Regional Reference Price,Autumn,Queensland,07:00:00,Weekend,58.61889908
No,Electricity Demand,Autumn,Queensland,07:30:00,Weekend,5642.870917
No,Regional Reference Price,Autumn,Queensland,07:30:00,Weekend,59.09385321
No,Electricity Demand,Autumn,Queensland,08:00:00,Weekend,5676.683119
No,Regional Reference Price,Autumn,Queensland,08:00:00,Weekend,58.30137615
No,Electricity Demand,Autumn,Queensland,08:30:00,Weekend,5732.937706
No,Regional Reference Price,Autumn,Queensland,08:30:00,Weekend,61.27045872
No,Electricity Demand,Autumn,Queensland,09:00:00,Weekend,5756.503028
No,Regional Reference Price,Autumn,Queensland,09:00:00,Weekend,65.32431193
No,Electricity Demand,Autumn,Queensland,09:30:00,Weekend,5761.858716
No,Regional Reference Price,Autumn,Queensland,09:30:00,Weekend,68.83614679
No,Electricity Demand,Autumn,Queensland,10:00:00,Weekend,5731.916697
No,Regional Reference Price,Autumn,Queensland,10:00:00,Weekend,62.85211009
No,Electricity Demand,Autumn,Queensland,10:30:00,Weekend,5717.042385
No,Regional Reference Price,Autumn,Queensland,10:30:00,Weekend,59.55266055
No,Electricity Demand,Autumn,Queensland,11:00:00,Weekend,5701.086147
No,Regional Reference Price,Autumn,Queensland,11:00:00,Weekend,55.63302752
No,Electricity Demand,Autumn,Queensland,11:30:00,Weekend,5681.803211
No,Regional Reference Price,Autumn,Queensland,11:30:00,Weekend,53.60486239
No,Electricity Demand,Autumn,Queensland,12:00:00,Weekend,5694.286055
No,Regional Reference Price,Autumn,Queensland,12:00:00,Weekend,53.53972477
No,Electricity Demand,Autumn,Queensland,12:30:00,Weekend,5704.915505
No,Regional Reference Price,Autumn,Queensland,12:30:00,Weekend,54.60247706
No,Electricity Demand,Autumn,Queensland,13:00:00,Weekend,5745.102385
No,Regional Reference Price,Autumn,Queensland,13:00:00,Weekend,55.89155963
No,Electricity Demand,Autumn,Queensland,13:30:00,Weekend,5796.172018
No,Regional Reference Price,Autumn,Queensland,13:30:00,Weekend,57.16834862
No,Electricity Demand,Autumn,Queensland,14:00:00,Weekend,5876.375138
No,Regional Reference Price,Autumn,Queensland,14:00:00,Weekend,61.48422018
No,Electricity Demand,Autumn,Queensland,14:30:00,Weekend,5962.994495
No,Regional Reference Price,Autumn,Queensland,14:30:00,Weekend,62.90220184
No,Electricity Demand,Autumn,Queensland,15:00:00,Weekend,6062.925138
No,Regional Reference Price,Autumn,Queensland,15:00:00,Weekend,64.91779817
No,Electricity Demand,Autumn,Queensland,15:30:00,Weekend,6198.325229
No,Regional Reference Price,Autumn,Queensland,15:30:00,Weekend,72.78706422
No,Electricity Demand,Autumn,Queensland,16:00:00,Weekend,6350.477431
No,Regional Reference Price,Autumn,Queensland,16:00:00,Weekend,75.65642202
No,Electricity Demand,Autumn,Queensland,16:30:00,Weekend,6517.232569
No,Regional Reference Price,Autumn,Queensland,16:30:00,Weekend,96.46073395
No,Electricity Demand,Autumn,Queensland,17:00:00,Weekend,6708.122477
No,Regional Reference Price,Autumn,Queensland,17:00:00,Weekend,90.40899083
No,Electricity Demand,Autumn,Queensland,17:30:00,Weekend,6861.243119
No,Regional Reference Price,Autumn,Queensland,17:30:00,Weekend,89.74486239
No,Electricity Demand,Autumn,Queensland,18:00:00,Weekend,6961.448257
No,Regional Reference Price,Autumn,Queensland,18:00:00,Weekend,106.1330275
No,Electricity Demand,Autumn,Queensland,18:30:00,Weekend,7025.538073
No,Regional Reference Price,Autumn,Queensland,18:30:00,Weekend,105.0711009
No,Electricity Demand,Autumn,Queensland,19:00:00,Weekend,7053.815413
No,Regional Reference Price,Autumn,Queensland,19:00:00,Weekend,120.8320183
